iter	MultiClass
0	3.639750731
1	3.579421714
2	3.503220584
3	3.445820671
4	3.398007141
5	3.325792005
6	3.259620761
7	3.209432339
8	3.147985784
9	3.080293257
10	3.042077397
11	2.99830129
12	2.954115402
13	2.908211886
14	2.861977494
15	2.814537486
16	2.790434239
17	2.745594028
18	2.709498662
19	2.658872489
20	2.620612201
21	2.566863103
22	2.544020025
23	2.51579164
24	2.46520192
25	2.427472198
26	2.402047929
27	2.377133586
28	2.338324537
29	2.312386722
30	2.274948738
31	2.246257359
32	2.202433637
33	2.175932155
34	2.14801046
35	2.118949032
36	2.085641361
37	2.058175247
38	2.020728657
39	1.99987393
40	1.969391588
41	1.957036076
42	1.926731856
43	1.904194745
44	1.88967253
45	1.86294749
46	1.833903912
47	1.818074226
48	1.795824154
49	1.780761002
50	1.758455015
51	1.740125846
52	1.725202144
53	1.69594489
54	1.683138153
55	1.66244097
56	1.634630902
57	1.620110068
58	1.594762798
59	1.582764587
60	1.567087295
61	1.548360453
62	1.535419751
63	1.51636725
64	1.506093385
65	1.486904228
66	1.455723084
67	1.444644716
68	1.431551042
69	1.420707805
70	1.399039629
71	1.388304782
72	1.374167252
73	1.363278823
74	1.352876009
75	1.344495688
76	1.335436317
77	1.324058891
78	1.313094944
79	1.303251433
80	1.294422013
81	1.284498414
82	1.274430998
83	1.252990367
84	1.239767665
85	1.226638207
86	1.215338912
87	1.204954339
88	1.1945706
89	1.184817262
90	1.176459153
91	1.166834212
92	1.158661972
93	1.146110878
94	1.137263628
95	1.129366192
96	1.116905306
97	1.107916334
98	1.094215519
99	1.086612001
100	1.069638252
101	1.062333369
102	1.054658545
103	1.034945696
104	1.026805437
105	1.006392461
106	0.9989607998
107	0.9912374037
108	0.9839789234
109	0.9780122309
110	0.9713637863
111	0.9639565556
112	0.9471421305
113	0.9362756933
114	0.930235229
115	0.9240905461
116	0.9147581906
117	0.9086522901
118	0.8993456758
119	0.8872684378
120	0.8805122179
121	0.8748902639
122	0.864162319
123	0.8553011174
124	0.8493836608
125	0.844130711
126	0.8336870694
127	0.8280984635
128	0.822499801
129	0.8157581411
130	0.8107267833
131	0.7964611104
132	0.7910872769
133	0.7855720258
134	0.7805105094
135	0.7758035548
136	0.7707860731
137	0.7636616643
138	0.7583774578
139	0.7533775909
140	0.7472795377
141	0.7391689715
142	0.7347087681
143	0.7214550212
144	0.716861204
145	0.7125120604
146	0.7070170864
147	0.7029192319
148	0.6985603571
149	0.6945429986
150	0.6818516361
151	0.6781217824
152	0.6738363101
153	0.6700324236
154	0.6656283462
155	0.6530382343
156	0.64905221
157	0.6456421192
158	0.6387209026
159	0.633889806
160	0.6303110797
161	0.626540465
162	0.6224230252
163	0.6192334017
164	0.6161156238
165	0.6061374742
166	0.5997037151
167	0.5961225466
168	0.5927230945
169	0.5862784944
170	0.5827034479
171	0.575098073
172	0.5716804623
173	0.5683989666
174	0.5655725425
175	0.561983872
176	0.5589860471
177	0.5559557343
178	0.5527652278
179	0.5499762338
180	0.5403472828
181	0.5355802102
182	0.5283870516
183	0.5195330812
184	0.5166745231
185	0.5080642581
186	0.5034520328
187	0.4989984724
188	0.4967446381
189	0.4935558164
190	0.4910207359
191	0.4885225415
192	0.4859775902
193	0.4798414245
194	0.4736550587
195	0.4712734579
196	0.4689454208
197	0.4615067865
198	0.4572071523
199	0.4504386512
200	0.4483257879
201	0.4420838559
202	0.4377373311
203	0.4354613548
204	0.43335919
205	0.4313446301
206	0.429267747
207	0.4272789414
208	0.4227839496
209	0.4173380222
210	0.4128630845
211	0.4108911362
212	0.4088854161
213	0.403861194
214	0.4010434755
215	0.395382811
216	0.3933064983
217	0.3913893355
218	0.3899828653
219	0.3879556648
220	0.3838669515
221	0.378569158
222	0.3744953999
223	0.3726989661
224	0.369760628
225	0.3662870911
226	0.3615529237
227	0.3569860434
228	0.3522085951
229	0.3506081883
230	0.3490091676
231	0.346157783
232	0.3445887582
233	0.3431758118
234	0.3416865242
235	0.3379195491
236	0.3360199857
237	0.333471572
238	0.3313191122
239	0.3286601192
240	0.3275417809
241	0.3233456268
242	0.3192461318
243	0.3174045831
244	0.3157793203
245	0.3117611367
246	0.3084892075
247	0.3066906839
248	0.305121741
249	0.3030198581
250	0.3013839804
251	0.2976749107
252	0.2963188415
253	0.2949149423
254	0.2934740479
255	0.2900600291
256	0.2887486553
257	0.2876096384
258	0.2840762734
259	0.2809518711
260	0.2798572641
261	0.2773177517
262	0.2760561522
263	0.2749381743
264	0.2731100279
265	0.2714463791
266	0.2702711082
267	0.2676190479
268	0.264918728
269	0.2620179411
