iter	Passed	Remaining
400	16154	24130
401	16186	24078
402	16218	24026
403	16248	23971
404	16284	23924
405	16321	23878
406	16353	23826
407	16386	23776
408	16419	23725
409	16450	23672
410	16479	23616
411	16509	23561
412	16537	23505
413	16566	23448
414	16600	23400
415	16634	23351
416	16662	23295
417	16691	23239
418	16717	23180
419	16745	23124
420	16773	23068
421	16802	23014
422	16830	22957
423	16857	22900
424	16889	22850
425	16918	22796
426	16949	22744
427	16977	22689
428	17005	22633
429	17031	22576
430	17056	22518
431	17086	22465
432	17119	22416
433	17147	22362
434	17177	22310
435	17223	22279
436	17276	22257
437	17333	22240
438	17384	22215
439	17428	22181
440	17466	22140
441	17512	22108
442	17559	22078
443	17623	22069
444	17683	22054
445	17739	22035
446	17788	22006
447	17836	21977
448	17886	21950
449	17917	21898
450	17949	21849
451	18006	21831
452	18067	21816
453	18134	21809
454	18201	21801
455	18255	21778
456	18309	21754
457	18358	21725
458	18405	21693
459	18441	21648
460	18475	21601
461	18511	21556
462	18541	21505
463	18573	21455
464	18603	21403
465	18631	21349
466	18658	21295
467	18689	21245
468	18715	21189
469	18740	21132
470	18766	21077
471	18792	21022
472	18817	20966
473	18844	20912
474	18873	20860
475	18899	20805
476	18925	20750
477	18956	20701
478	18990	20655
479	19016	20601
480	19043	20547
481	19069	20494
482	19096	20440
483	19122	20386
484	19147	20331
485	19173	20278
486	19199	20224
487	19224	20169
488	19252	20119
489	19287	20074
490	19317	20025
491	19344	19973
492	19369	19919
493	19396	19867
494	19422	19814
495	19448	19761
496	19477	19712
497	19506	19663
498	19534	19612
499	19561	19561
500	19593	19515
501	19623	19467
502	19651	19417
503	19679	19366
504	19705	19315
505	19732	19264
506	19758	19212
507	19784	19161
508	19810	19109
509	19836	19058
510	19863	19008
511	19891	18959
512	19918	18908
513	19943	18856
514	19968	18805
515	19995	18755
516	20024	18707
517	20049	18656
518	20075	18605
519	20101	18555
520	20129	18506
521	20156	18457
522	20182	18407
523	20208	18357
524	20233	18306
525	20259	18256
526	20285	18206
527	20311	18157
528	20338	18108
529	20364	18059
530	20393	18012
531	20420	17964
532	20446	17915
533	20476	17868
534	20503	17821
535	20533	17775
536	20563	17729
537	20597	17688
538	20646	17658
539	20694	17628
540	20756	17610
541	20814	17588
542	20879	17572
543	20939	17551
544	20990	17523
545	21040	17495
546	21088	17464
547	21132	17430
548	21178	17397
549	21234	17373
550	21290	17348
551	21344	17322
552	21391	17291
553	21436	17257
554	21485	17227
555	21519	17184
556	21550	17139
557	21578	17092
558	21609	17047
559	21640	17002
560	21679	16964
561	21737	16941
562	21856	16964
563	21957	16974
564	22048	16975
565	22118	16960
566	22199	16952
567	22295	16957
568	22345	16925
569	22393	16893
570	22447	16865
571	22495	16832
572	22541	16797
573	22572	16752
574	22604	16707
575	22687	16700
576	22738	16669
577	22786	16636
578	22834	16603
579	22882	16570
580	22930	16536
581	22985	16508
582	23049	16486
583	23126	16473
584	23200	16458
585	23285	16450
586	23631	16626
587	23705	16610
588	23784	16596
589	23840	16567
590	23888	16531
591	23954	16509
592	24065	16516
593	24150	16506
594	24194	16468
595	24240	16431
596	24293	16399
597	24366	16379
598	24441	16362
599	24515	16343
600	24655	16368
601	24775	16380
602	24828	16346
603	24877	16310
604	24928	16275
605	24978	16240
606	25035	16209
